,hours
0,16
1,0
2,0
3,15
4,16
5,0
6,16
7,0
8,16
9,15
10,0
11,16
12,1
13,0
14,17
15,0
16,0
17,16
18,0
19,16
20,16
21,3
22,0
23,16
24,0
25,16
26,23
27,20
28,23
29,16
30,22
31,15
33,16
34,0
35,20
36,0
37,15
38,21
39,0
40,0
41,16
42,0
43,15
44,0
45,15
46,16
47,1
48,16
49,0
50,15
51,21
52,23
53,19
54,16
55,0
56,16
57,0
58,0
59,19
60,16
61,18
62,16
63,0
64,16
65,1
66,3
68,15
69,0
70,16
71,16
72,16
73,16
74,16
75,0
76,16
77,17
78,16
79,0
80,21
82,16
83,16
84,0
85,14
86,1
87,16
88,1
89,16
90,0
91,16
92,23
93,15
94,0
95,15
96,20
97,16
98,23
99,4
100,23
101,16
102,16
103,17
104,0
105,19
106,0
107,16
108,16
110,16
111,16
112,0
113,16
114,23
115,0
116,0
117,16
118,0
119,19
120,0
121,0
122,16
123,17
124,16
125,0
126,17
127,0
128,0
129,0
130,18
131,23
133,18
134,16
135,23
136,17
137,0
138,19
139,3
140,0
141,15
142,0
143,0
144,23
145,16
146,0
147,0
148,16
149,0
150,16
151,15
152,23
153,18
154,16
155,16
156,23
157,16
158,23
159,16
160,0
161,16
162,17
163,15
164,23
165,16
166,0
167,18
168,16
171,0
172,16
173,0
174,16
175,16
176,0
177,16
178,0
179,0
180,19
181,0
182,0
183,0
184,16
186,0
187,16
188,0
189,0
190,18
191,16
192,0
193,0
194,0
195,16
196,1
197,16
198,22
199,16
200,18
201,18
202,0
203,16
204,16
205,16
206,23
207,22
208,21
209,15
210,0
211,0
212,20
214,16
215,0
216,15
217,0
218,22
219,18
220,1
221,18
222,0
223,18
225,22
226,1
228,1
229,19
230,17
231,0
232,1
233,1
234,18
235,1
237,17
238,1
239,20
240,1
241,17
242,23
243,19
244,1
245,23
246,17
247,15
248,1
249,15
250,1
251,17
252,1
253,22
254,17
255,2
256,23
257,17
258,0
259,1
260,17
262,1
263,17
264,1
265,23
266,17
269,1
270,18
271,17
272,1
273,23
274,17
275,2
276,1
277,1
278,22
279,1
280,1
281,16
283,1
284,1
285,22
286,17
287,1
288,17
289,1
290,20
291,17
292,1
293,1
294,23
295,22
296,22
297,1
298,22
299,17
300,23
301,19
302,1
303,17
304,1
305,17
306,1
307,17
308,1
309,23
310,17
311,1
312,22
313,2
314,1
315,17
317,0
318,17
319,18
320,16
321,17
322,1
323,17
324,0
326,1
327,18
328,17
330,1
331,17
332,15
333,0
334,1
336,17
337,1
338,17
339,0
340,21
341,17
342,21
343,17
345,17
346,1
347,17
348,15
349,1
350,16
351,0
352,17
355,2
356,2
357,1
358,0
360,19
361,0
362,17
363,20
364,16
365,1
366,17
367,17
369,0
370,21
371,17
373,1
374,17
375,1
376,17
377,1
